property_id,price,categories,bedrooms,bathrooms,garage,area,location,amenities,furnished
1606900881-4492,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606900888-4495,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606900897-4499,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606900904-4502,8050,Apartment for Rent,1,1,0,80,"Osu ,Accra,Ghana",Listed,Furnished
1606900909-4505,14375,Apartment for Rent,2,3,0,140,"Osu ,Accra,Ghana",Listed,Furnished
1606900915-4507,7418,Apartment for Rent,2,2,0,140,"Shiashie, Accra, Ghana",Listed,Furnished
1606900919-4510,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606900927-4513,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606900935-4516,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606900944-4518,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606900951-4521,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606900958-4525,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606900973-4529,11500,Apartment for Rent,1,2,0,100,Cantoment accra,Listed,Furnished
1606900980-4532,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606900989-4535,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606900994-4538,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606901001-4541,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606901007-4542,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901012-4545,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901019-4548,8050,Apartment for Rent,1,1,0,80,"Osu ,Accra,Ghana",Listed,Furnished
1606901025-4551,14375,Apartment for Rent,2,3,0,140,"Osu ,Accra,Ghana",Listed,Furnished
1606901031-4553,7418,Apartment for Rent,2,2,0,140,"Shiashie, Accra, Ghana",Listed,Furnished
1606901038-4556,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606901045-4558,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606901051-4562,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606901061-4563,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606901074-4567,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606901082-4570,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606901114-4575,11500,Apartment for Rent,1,2,0,100,Cantoment accra,Listed,Furnished
1606901121-4578,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606901129-4580,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606901136-4583,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606901143-4586,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606901150-4588,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901159-4592,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901163-4595,8050,Apartment for Rent,1,1,0,80,"Osu ,Accra,Ghana",Listed,Furnished
1606901171-4598,14375,Apartment for Rent,2,3,0,140,"Osu ,Accra,Ghana",Listed,Furnished
1606901176-4600,7418,Apartment for Rent,2,2,0,140,"Shiashie, Accra, Ghana",Listed,Furnished
1606901182-4602,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606901190-4605,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606901197-4608,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606901203-4611,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606901211-4613,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606901218-4616,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606901234-4619,11500,Apartment for Rent,1,2,0,100,Cantoment accra,Listed,Furnished
1606901242-4622,24475,Apartment for Rent,3,3,1,216,Airport Residential,Listed,Furnished
1606901245-4625,19036,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Not Furnished
1606901253-4628,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606901262-4630,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606901269-4633,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901275-4635,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901282-4638,8050,Apartment for Rent,1,1,0,80,"Osu ,Accra,Ghana",Listed,Furnished
1606901290-4642,14375,Apartment for Rent,2,3,0,140,"Osu ,Accra,Ghana",Listed,Furnished
1606901294-4644,7418,Apartment for Rent,2,2,0,140,"Shiashie, Accra, Ghana",Listed,Furnished
1606901301-4647,15229,Apartment for Rent,2,2,2,115,Cantoment accra,Listed,Not Furnished
1606901309-4650,11966,Apartment for Rent,2,2,1,90,"North Ridge, Accra, Ghana",Listed,Furnished
1606901317-4653,8913,Apartment for Rent,1,1,0,51,Cantoment accra,Listed,Not Furnished
1606901326-4656,8974,Apartment for Rent,1,1,0,48,"Ringway, Ridge, North Ridge, Osu, Accra",Listed,Furnished
1606901336-4660,14318,Apartment for Rent,4,3,0,265,Cantoment accra,Listed,Not Furnished
1606901345-4663,6142,Apartment for Rent,1,1,0,42,"Shiashie, Accra, Ghana",Listed,Furnished
1606901364-4669,21756,Apartment for Rent,3,3,1,216,Cantoment accra,Listed,Furnished
1606901372-4672,13597,Apartment for Rent,2,2,1,115,Cantoment accra,Listed,Furnished
1606901381-4675,8158,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901385-4678,11966,Apartment for Rent,1,1,1,51,Cantoment accra,Listed,Furnished
1606901390-4680,8050,Apartment for Rent,1,1,0,80,"Osu ,Accra,Ghana",Listed,Furnished
1606901400-4685,14375,Apartment for Rent,2,3,0,140,"Osu ,Accra,Ghana",Listed,Furnished
1606901405-4687,7418,Apartment for Rent,2,2,0,140,"Shiashie, Accra, Ghana",Listed,Furnished
